beer_beerid,beer_style,beer_style_id,beer_name
63460,English Strong Ale,51,Limping Mallard
63020,English Strong Ale,51,Bigger Boy's Beer
38414,American Pale Ale (APA),14,Extra Pale Ale
39008,American Porter,17,Monon Porter
65568,Märzen / Oktoberfest,82,Marzen
6825,American IPA,12,I.P.A.
66857,American Porter,17,Jack Daniels Barrel Aged Porter
15477,English Barleywine,42,Broad Ripple Ankle Biter 2003
74998,Milk / Sweet Stout,79,Sparky's Chocolate Milk Stout
31838,English Dark Mild Ale,45,Red Bird Mild
49038,Russian Imperial Stout,89,Broad Ripple Evilsizors Russian Imperial Stout
73291,Hefeweizen,65,Hefe Weizen
31935,German Pilsener,61,Pilsner
35229,English Barleywine,42,"Ankle Biter Ale ""06"
35228,English Barleywine,42,Ankle Biter Ale '07
65636,American Pale Ale (APA),14,Amarillo Single Hop Pale Ale
55445,American Double / Imperial IPA,9,Hopcicle Double IPA
64379,Fruit / Vegetable Beer,60,Apple Chucker
66430,American Double / Imperial Stout,11,Ackerman's Imperial Double Stout (Winterfest Replicale 2011)
63470,Kölsch,73,Kölsch
9545,American Porter,17,Porter
6824,Extra Special / Strong Bitter (ESB),55,E.S.B.
66889,American Double / Imperial Stout,11,Ackerman's Imperial Double Stout (Indiana Replicale 2011)
16491,English Bitter,43,T.J.'s Best Bitter
63467,Schwarzbier,93,Replic Ale (2010)
66856,California Common / Steam Beer,33,California Common
43364,Irish Dry Stout,67,Finneen's Auld Sod Stout
15474,American Pale Ale (APA),14,Broad Ripple Lawnmower Pale Ale
25546,Czech Pilsener,36,Bernard Nefiltrovaný (unfiltered)
55096,American Double / Imperial Stout,11,2001 - A Stout Odyssey
39007,Altbier,0,Herr Kevin's Alt Bier
43944,Euro Dark Lager,52,Black Heart Lager
8284,Scotch Ale / Wee Heavy,94,Wee Alec Heavy
61478,English Pale Ale,47,Lawn Mower Pale Ale
73290,American Porter,17,Bjava Porter
39009,American Pale Ale (APA),14,Dual Citizenship Ale
27918,English Pale Ale,47,15th Anniversary
32306,Saison / Farmhouse Ale,92,Farmhouse Ale
75449,American Pale Ale (APA),14,Centennial Pale Ale
15660,American Pale Ale (APA),14,Wobbly Bob APA
15478,English Barleywine,42,Broad Ripple Ankle Biter 2004
33272,Pumpkin Ale,85,Pumpkin Ale
53367,Belgian IPA,23,Georgia Belgique
19558,Witbier,103,Wild Wacky Wit
71513,English Bitter,43,Apparition Ale Cask With Sovereign Hops
71533,Belgian Strong Pale Ale,26,Six Degrees Belgian Golden Ale
32141,American Pale Ale (APA),14,X-Extra Pale Ale
65099,Belgian Pale Ale,24,Goin' Monk
20758,American Amber / Red Ale,2,Ogeechee Amber Ale
54000,American IPA,12,Rosemary IPA
8514,English Brown Ale,44,Bay Street Brown Ale
26562,English Pale Ale,47,Moon Dance Pale Ale
41683,American Pale Ale (APA),14,Slow-Vannah Pale Ale
29142,American Double / Imperial IPA,9,Oatboy Imperial IPA
27229,Hefeweizen,65,Wheezy Heifer
2776,Hefeweizen,65,Hefe-Weizen
72005,Belgian Strong Pale Ale,26,Six Degrees Belgian Golden Ale Cask With Cardamom And Lemongrass
47880,American Double / Imperial Stout,11,Oak-Aged Black River Imperial Stout
38226,Tripel,98,Dixie Crystal Beer
11162,Irish Dry Stout,67,The Bomb-Dry Stout
71669,American Pale Ale (APA),14,Slow-Vannah Pale Ale Cask With Citra Hops
55193,Irish Dry Stout,67,Skunk-Ape Stout
43602,Fruit / Vegetable Beer,60,Peachy Sour Brown Ale
39519,Maibock / Helles Bock,78,Honey Bock
2726,Kölsch,73,Claire De Lune
24057,American Stout,18,Galleria Espresso Stout
24016,Rye Beer,90,Mai-Rye-Bock
63217,American Pale Ale (APA),14,Amarillo On My Mind
74027,Flanders Oud Bruin,57,Special Reserve Oud Bruin
8717,Märzen / Oktoberfest,82,Savannah Fest Beer
72200,English Bitter,43,Apparition Ale Cask With Fuggles Hops
62442,English Bitter,43,Apparition Ale
20757,Russian Imperial Stout,89,Black River Imperial Stout
17010,Scotch Ale / Wee Heavy,94,Wee Beast (Cuillin Beast)
7819,American Stout,18,"The Rod ""winter"" Stout"
20013,Czech Pilsener,36,Moon Light
72448,American Porter,17,Little Chocolate Doughnuts
62441,Witbier,103,Houblon Wit
34569,Fruit / Vegetable Beer,60,The Tater Ale
59514,American Double / Imperial IPA,9,Viven Imperial IPA
55192,American IPA,12,Nick's Balls Of Gold
44081,American Brown Ale,7,Gene's American Brown Ale
44354,German Pilsener,61,Lemke Pils
40538,Winter Warmer,102,Kringle Krack
48911,Fruit / Vegetable Beer,60,Founders Cerise
26909,Scottish Ale,95,Devanha Scottish XXX Ale
71157,English Pale Ale,47,Skyelight
36661,Scottish Ale,95,Tigh Dearg Ale
73020,Smoked Beer,97,Tarasgeir
11456,English Pale Ale,47,Red Cuillin
7519,Scottish Ale,95,Blaven
11709,English Bitter,43,Hebridean Gold Porridge Oat Ale
39289,American Pale Ale (APA),14,American Pale Ale
72989,American Amber / Red Ale,2,Walker's Ale
1557,Scottish Ale,95,Black Cuillin
44579,English Porter,49,Dark Star Porter
50632,Märzen / Oktoberfest,82,Amalgamated Märzen
45132,Altbier,0,Altbier
61053,American Stout,18,Bourbon Barrel Stout (Clay Street Series)
57894,American IPA,12,Rye IPA 75
64842,American Amber / Red Ale,2,Copper Ale
61864,Tripel,98,Mephistopheles' Metamorphosis
45137,American Double / Imperial IPA,9,Professor Gesser's Mind Numbing Ale
32712,Oatmeal Stout,83,Oatmeal Stout
32734,American Brown Ale,7,Nut Brown Ale
32733,American Pale Ale (APA),14,Pale Ale
64841,Scottish Ale,95,Scotch Ale
71502,American Stout,18,Steamboat Stout
69795,Scotch Ale / Wee Heavy,94,Ring Of Fire
56978,English Bitter,43,Battery Hill Bitter
56981,Dubbel,39,Dubbelicious
62718,Flanders Red Ale,58,Belgian Red With Brettanomyces Yeast
63995,Dunkelweizen,40,Brewer's Reserve Series: Dunkelweiss
60704,American IPA,12,Herkulean IPA
65082,Roggenbier,88,Roggenbier
16074,Rye Beer,90,Founders Red's Rye PA
56980,Keller Bier / Zwickel Bier,70,Swannanoa Sunset
57668,Keller Bier / Zwickel Bier,70,Toubab Brewe
56979,Belgian Pale Ale,24,Solshine
58942,American Pale Ale (APA),14,Test Batch#1: An Amercian Pale Ale
58940,American Pale Ale (APA),14,Antebellum Ale
65447,American Porter,17,Burning Barrel
56982,English Strong Ale,51,Meet Your Maker
23015,Russian Imperial Stout,89,Brouemont Russian Imperial Stout
69305,Belgian Dark Ale,22,PBJ
69410,Roggenbier,88,Falconer's Rye
58941,American Blonde Ale,6,White Squirrel
62717,Doppelbock,37,Germinator Doppelbock
47450,Märzen / Oktoberfest,82,Neder Festbier
73752,Dortmunder / Export Lager,38,Neder Faßbier
47864,Schwarzbier,93,Schwarze Anna
48061,Munich Dunkel Lager,80,Erstes Forchheimer Braunbier
33927,Belgian Strong Pale Ale,26,Gulden Fraug Belgian Style Ale
37930,Keller Bier / Zwickel Bier,70,Neder Keller Bier
44844,Märzen / Oktoberfest,82,St. Anna Festbier
72427,American Strong Ale,19,Old Orange Old Dummy
72426,American IPA,12,Old Orange Cannonball
72425,Kölsch,73,Old Orange Street Fair
69234,Euro Pale Lager,53,Brew Eyed Lager
71686,English Pale Ale,47,Brew Eyed Blond
30780,English Bitter,43,Old Skool
75708,English Porter,49,Toffee Porter
54846,Dunkelweizen,40,Amalgamated Dunkel
71830,English India Pale Ale (IPA),46,Amalgamated IPA
50575,Maibock / Helles Bock,78,Amalgamated Helles
54060,American Pale Lager,15,Amalgamated Zoigl
52094,Rauchbier,87,Amalgamated Rauchbier
74672,American Black Ale,5,Deceiver
74676,American Amber / Red Ale,2,Ramble On Red
74683,American Double / Imperial IPA,9,NoDa Rye Z'd
76766,American Pale Ale (APA),14,10 Blocks South
74675,American Porter,17,Coco Loco
75898,American IPA,12,"Hop, Drop ‘n Roll"
76668,Winter Warmer,102,Santa Baby
76508,Winter Warmer,102,Naughty List
69828,Bière de Garde,29,Bierre De Garde
69826,American IPA,12,Bluffdiver IPA
33653,American Pale Wheat Ale,16,Washougal Wheat
60957,American Stout,18,Terminator Stout
33654,American Stout,18,Triple Chocolate Stout
21964,Japanese Rice Lager,69,Sushi Roku Red Sun
65210,American Pale Ale (APA),14,Pale Ale
61801,American Stout,18,Snaggletooth Stout
65197,American IPA,12,IPA
65209,Irish Dry Stout,67,Irish Stout
65208,Hefeweizen,65,Hefeweizen
65211,American Brown Ale,7,Brown Ale
50344,American Amber / Red Ale,2,Mariposa Golden Amber
50343,Hefeweizen,65,High Country Hefeweizen
50345,American IPA,12,Pick Axe IPA
7382,American Pale Ale (APA),14,SueBee Honey Ale
61800,American Blonde Ale,6,Blonde Ambition
66818,American Black Ale,5,Pot Kettle Black
62782,Pumpkin Ale,85,Splashing Pumpkin
65282,American Double / Imperial IPA,9,Hoppocratic Oath
61799,American IPA,12,Massive IPA
70562,Saison / Farmhouse Ale,92,Conscious Sedaison
64348,Rye Beer,90,Sleigh Ryed
65484,Scotch Ale / Wee Heavy,94,Marauder (Born From Wood Series)
65483,American Pale Ale (APA),14,Robert Moses Pale Ale
61425,American Pale Ale (APA),14,Motueka Monster
69677,Smoked Beer,97,Rex Attitude
74370,Dubbel,39,Her Majesty 2010
61429,American Pale Ale (APA),14,Nerdherder D
69866,American Amber / Red Ale,2,Hud-a-wa' Strong
62884,Belgian Pale Ale,24,Return To Magenta
76685,American Amber / Red Ale,2,Red Rackham
62101,Belgian Pale Ale,24,Viven Blond
72146,Saison / Farmhouse Ale,92,Her Majesty 2011
75907,American IPA,12,Digital IPA
61417,American Pale Ale (APA),14,Yakima Monster
5843,American Amber / Red Lager,3,Honey Brown Lager
1222,Black & Tan,30,Black & Tan
1223,American Pale Ale (APA),14,Special Reserve Ale
64816,Maibock / Helles Bock,78,Arnstädter UrBock
48550,Belgian Dark Ale,22,Orgemont Brune
48549,Belgian Dark Ale,22,Orgemont Bière Des Moissons
48551,Tripel,98,Orgemont Triple
48548,Belgian Pale Ale,24,Orgemont Bière Rèmes Speciale Au Marc De Champagne
46650,Belgian Pale Ale,24,Orgemont Blonde
59983,American Pale Ale (APA),14,White Buffalo Peace Ale
59984,Irish Red Ale,68,Red Lady Ale
59986,Oatmeal Stout,83,Rodeo Stout
19895,American Pale Ale (APA),14,White Rapids Ale
74651,English Pale Ale,47,Unas Mas! (Simcoe Hops)
56688,American Pale Ale (APA),14,Flying Aces Pale Ale
32084,Schwarzbier,93,Black Night Black Lager
5616,Dunkelweizen,40,Dunkel Weizen
23019,American Brown Ale,7,Nut Brown Ale
16893,American Pale Wheat Ale,16,Golden Hawk Wheat
59548,Fruit / Vegetable Beer,60,Turbo Shandy
19898,Maibock / Helles Bock,78,Helles Honey Bock
16894,American Amber / Red Ale,2,Red Rocket Amber Ale
33644,Russian Imperial Stout,89,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout
74654,American Double / Imperial IPA,9,Hopturnal Emissions
75989,American Blonde Ale,6,Bees Knees Honey Ale
19896,American Pale Ale (APA),14,River Raiders Ale
28271,Oatmeal Stout,83,Quaker Oatmeal Stout
75988,American Stout,18,Tenebra
16896,Scottish Ale,95,Tilted Kilt
5617,American Stout,18,Black Cobra Stout
56687,Herbed / Spiced Beer,66,Holidays R Over Spiced Ale
20367,Märzen / Oktoberfest,82,Oktoberfest
35064,American Adjunct Lager,1,Meta Export Lager
52211,Pumpkin Ale,85,Frog's Hollow Double Pumpkin Ale
16892,Extra Special / Strong Bitter (ESB),55,Flying Aces Ale
22213,English Brown Ale,44,Brown Nose Ale
48525,American Double / Imperial IPA,9,Pike Double IPA
68447,American Black Ale,5,Cascadian Dark Ale
64423,Saison / Farmhouse Ale,92,Saison Du Sept Mers
58128,Foreign / Export Stout,59,Barrel Aged Port Royal Stout W/ Vanilla Beans
66845,American Barleywine,4,Wheelchair
65639,Winter Warmer,102,Santa's Smokin' Winter Warmer
73646,American IPA,12,Hop Prophet
58129,American IPA,12,Rude Parrot
53677,English Pale Ale,47,British Pale Ale
53678,American Amber / Red Ale,2,Cutt's Ale
54724,American Stout,18,Port Royal Stout
66213,American Porter,17,Smoked Porter
20505,Altbier,0,Alt
20504,Hefeweizen,65,Weizen
61474,American Adjunct Lager,1,Asmara Lager Beer
36037,American Porter,17,'Pooya Porter
51815,American Barleywine,4,Ol' Lickspigot Barleywine
35880,American Amber / Red Ale,2,SantiAmber Ale
42797,American Pale Ale (APA),14,Hop Crisis Extra Pale Ale
38212,American IPA,12,Yankee Clipper IPA
36038,American Amber / Red Ale,2,Flood Stage Red
38951,American IPA,12,Simcoe Springs IPA
51793,American Pale Wheat Ale,16,White Water Wheat
40248,Rye Beer,90,Fresh Hop Rye
72329,Rye Beer,90,Hop Rye Pale
36036,American Pale Ale (APA),14,Big Aft Pale Ale
40448,Extra Special / Strong Bitter (ESB),55,BourbonDog ESB
40537,Russian Imperial Stout,89,Undertow
51792,American IPA,12,Riparian IPA
35881,Extra Special / Strong Bitter (ESB),55,Riverdog ESB
36039,American Barleywine,4,Calapooia Barleywine
36035,American Blonde Ale,6,Somethin' Lite
35882,American Stout,18,Devil's Hole Stout
8422,Belgian Strong Pale Ale,26,La Binchoise Spéciale Noël (Reserve Special - USA)
41788,Chile Beer,34,Chili Beer
64538,Rye Beer,90,Rising River Rye
22746,Euro Pale Lager,53,Zhigulovskoye
20008,Witbier,103,Froegaarden
20016,Extra Special / Strong Bitter (ESB),55,Parislytic
20017,English Stout,50,Dark De Triomphe
58409,Bock,31,Dark Bock
58410,American Amber / Red Lager,3,Dark Wheat
13548,Czech Pilsener,36,Bernard Celebration Lager
19309,Czech Pilsener,36,Bernard Svetly Lezak
30983,Czech Pilsener,36,OX
64262,Czech Pilsener,36,Bernard Light 10° - Bernard Sv&#283;tlé Pivo 10°
18573,Euro Dark Lager,52,Bernard Semi-dark Lager (polotmavy Lezak)
64327,Schwarzbier,93,Bernard Dark
56735,Euro Strong Lager,54,Prae&#269;ka Christmas
53523,Low Alcohol Beer,77,Bernard S &#269;istou Hlavou
64879,Munich Dunkel Lager,80,Bernard Jantarový Leák
21521,Euro Dark Lager,52,Bernard Cerne
13583,Czech Pilsener,36,Bernard Sváte&#269;ní Leák
46683,American Strong Ale,19,Twice Bitten
45172,American IPA,12,O'Hoppy IPA
46255,Kölsch,73,Verich Gold
46252,Pumpkin Ale,85,Ohio Pumpkin Ale
46249,Altbier,0,Alt-Ernative Amber
43396,American Stout,18,Steel Valley Stout
44875,Altbier,0,Akron Dopple Alt
46248,American Brown Ale,7,Buckeye Brown
46250,Czech Pilsener,36,Polymer Pilsner
17220,American IPA,12,IPA
46254,Irish Red Ale,68,Cardinal Ale
3644,Hefeweizen,65,Weiss Beer
61917,Euro Dark Lager,52,Saints Ambrosia
5547,Vienna Lager,99,Red Stallion
9825,Munich Dunkel Lager,80,Black Forest
66692,Czech Pilsener,36,Double Pilsner
35386,Bock,31,Festival Bock
14045,Rauchbier,87,Brau Rauck
9824,German Pilsener,61,Pilsner
17362,Dunkelweizen,40,Dunkel Weizen
23234,Roggenbier,88,Roggen
24189,American Pale Ale (APA),14,Tomahawk Special American Pale Ale
67820,Bock,31,Spring Bock
75148,Bock,31,Voodoo Bock
71644,Euro Dark Lager,52,LOTR Polotmavy 14
70732,Munich Dunkel Lager,80,Raudonyu Dobilu Alus
23013,American IPA,12,Brouemont India Pale
23014,American Double / Imperial IPA,9,Brouemont Imperial India Pale Ale
44687,Smoked Beer,97,Porter Fume
23668,Hefeweizen,65,Weizen
16871,English Dark Mild Ale,45,Sweet Dark
56115,American Double / Imperial IPA,9,Hop Dam Triple IPA
36862,Hefeweizen,65,Wild Frog Wheat Ale
34799,American Pale Ale (APA),14,San Francisco Pale Ale
37518,American Double / Imperial IPA,9,Mean Manalishi Double I.P.A.
57110,Russian Imperial Stout,89,D.O.R.I.S. The Destroyer Double Imperial Stout
24336,English Dark Mild Ale,45,Hallidie S. Ale
26201,Euro Pale Lager,53,Lasko Club
40766,English Pale Ale,47,Otro Mundo Golden Ale
72827,English Barleywine,42,Barrel Aged Naked Evil
64096,Winter Warmer,102,Barrel Aged Frosted Frog Christmas Ale
40146,Fruit / Vegetable Beer,60,Smashin' Berry Dark
48521,Märzen / Oktoberfest,82,Kirkland Signature German Style Lager
38982,Fruit / Vegetable Beer,60,Smashing Berry Ale
53779,American Pale Ale (APA),14,Fresh Frog Raw Hop Imperial Pale Ale
48556,American Amber / Red Ale,2,Kirkland Signature Amber Ale
47694,Scotch Ale / Wee Heavy,94,Outta Kilter
62921,American Porter,17,Imperial American Porter (2010 Beer Week Collaboration With Rocky River)
75850,Russian Imperial Stout,89,B.O.R.I.S. #100
51917,Belgian IPA,23,Hop Master's Abbey Belgian-Style Double IPA
22464,Euro Pale Lager,53,Goldhorn Club
54134,Winter Warmer,102,Frosted Frog Christmas Ale
49864,American IPA,12,One Hop Wonder #9 - Columbus
38552,Smoked Beer,97,Trafalgar Smoked Oatmeal Stout
69461,Russian Imperial Stout,89,BORIS Royale
27597,Irish Red Ale,68,Elora Irish Ale
48167,Cream Ale,35,Trafalgar Cedar Cream Ale
48519,Hefeweizen,65,Kirkland Signature Hefeweizen
44351,English Bitter,43,Elora Special Bitter
50833,American Double / Imperial IPA,9,Meaner Manalishi Double I.P.A.
21436,Russian Imperial Stout,89,YouEnjoyMyStout
28861,American Porter,17,Gripman's Porter
11757,American Double / Imperial Stout,11,Founders Breakfast Stout
60874,Russian Imperial Stout,89,Cafe BORIS
29204,American Blonde Ale,6,Horse Piss Beer
25251,English Pale Ale,47,1 A.M. Ale
960,American IPA,12,Pike India Pale Ale
23474,Fruit / Vegetable Beer,60,Founders Rübæus
59015,American Blonde Ale,6,Lonely Blonde
45923,Schwarzbier,93,Sheltowee GloomSucker Black Ale
1121,Altbier,0,Altbier
34146,American Double / Imperial IPA,9,Founders Double Trouble
40153,American Porter,17,Silk Porter
33662,Black & Tan,30,Bodacious Black & Tan
48148,Doppelbock,37,The Devastator Double Bock
15280,American Porter,17,Festivity
44914,Rye Beer,90,Founders Crystal Rye Persuasion
10656,Extra Special / Strong Bitter (ESB),55,Gem
52451,Märzen / Oktoberfest,82,Frank's Octoberfest
52403,Pumpkin Ale,85,Pumpkin Beer
68736,Irish Dry Stout,67,Irish Stout
52275,American Amber / Red Ale,2,Rooster Red
43904,Saison / Farmhouse Ale,92,Silver State Saison
25721,Oatmeal Stout,83,Outlaw Oatmeal Stout
45450,Rauchbier,87,Smoke Creek Rauchbock
11325,American Amber / Red Ale,2,Truckee River Red Organic Ale
24444,Extra Special / Strong Bitter (ESB),55,Black Rock ESB
33242,Scotch Ale / Wee Heavy,94,"Harmon Killer Brew, Version 9"
29030,English Porter,49,Jackpot Porter
25520,Chile Beer,34,Cerveza ChileBeso
56725,American Double / Imperial Stout,11,Bourbon Imperial Stout
58921,American Barleywine,4,Bourbon Barrel Barleywine
46582,American Pale Ale (APA),14,Harvest Ale
52444,Russian Imperial Stout,89,Jason Green's Russian Imperial Stout
24443,Cream Ale,35,Katies Cream Ale
29032,American Brown Ale,7,Franktown Brown
57560,Märzen / Oktoberfest,82,Stone Mother Marzen
53579,American IPA,12,Hopasaurus
11324,American Barleywine,4,Risky Biscuit Barleywine
20584,Märzen / Oktoberfest,82,Oktoberfest
7849,American IPA,12,Ichthysaur IPA
47046,Winter Warmer,102,Red Nose Holiday Wassail
61638,Rye Beer,90,Blister In The Sun Rye
45714,Märzen / Oktoberfest,82,Oktoberfest
60644,American Black Ale,5,Black Eye P.A.
43561,American Amber / Red Ale,2,Hamden Red
43560,American IPA,12,Sleeping Giant IPA
43562,American Stout,18,West Rock Stout
43563,American Brown Ale,7,Head Rush
43559,English Pale Ale,47,Eli Whitney English Pale Ale
43558,Czech Pilsener,36,Parkway Pilsner
43557,Light Lager,76,Bobcat Light
47926,English Bitter,43,Fish King
7425,English Pale Ale,47,Cocker Hoop
41767,English Bitter,43,World's Biggest Liar
13350,Pumpkin Ale,85,Pumpkin Ale
15130,English Dark Mild Ale,45,Dark Mild
69242,English Bitter,43,Kiss Me Kate
30571,English Bitter,43,Tom Fool
15139,English Bitter,43,Cross Buttock Ale
12655,English Bitter,43,Jennings Crag Rat
15131,Extra Special / Strong Bitter (ESB),55,Red Breast
65507,English Bitter,43,Soggy Bottom
9118,Extra Special / Strong Bitter (ESB),55,Jennings Sneck Lifter
13112,American IPA,12,IPA
23282,English Bitter,43,Golden Host
70673,English Bitter,43,Tizzie Wizzie
15140,English Bitter,43,Jennings Best Bitter
9117,English Pale Ale,47,Jennings Cumberland Ale
