beer_beerid,beer_name,beer_style,distance
45633,Pink Noise,American Pale Wheat Ale,0.997814826572946
47670,Hayward Hefeweizen,Hefeweizen,0.997814826572946
43873,Grand Cru,Quadrupel (Quad),0.997814826572946
40762,Oatmeal Stout,Oatmeal Stout,0.997814826572946
3025,Black Bear Ale,English Brown Ale,0.9980409493627616
42803,Sleeman No. 20 Anniversary Ale,American Pale Ale (APA),0.9980533783992201
2401,Giraf Beer,Euro Strong Lager,1.0017215121133431
3560,Havana Red,American Amber / Red Ale,1.0021646368155697
4982,700 Level,American Pale Ale (APA),1.0024265073961696
553,Bunker Hill Blueberry Ale,Fruit / Vegetable Beer,1.0029668986883462
24050,Liplock Summer  Wheat Ale,American Pale Wheat Ale,1.004549609348652
48917,Hey Guy Imperial Pale,American Strong Ale,1.0053097801029613
64287,Mt. Washington Organic Amber Ale,American Amber / Red Ale,1.0067575330673328
29157,Dry Heat Hefeweizen,Hefeweizen,1.0074549346731867
5190,Island City Red Ale,Altbier,1.0102709250937403
12886,Belgian Style,Belgian Pale Ale,1.0116844950971913
14887,Honey Light Ale,American Amber / Red Ale,1.0116844950971913
13970,Winter Solstice Ale,Winter Warmer,1.011859032806285
29070,Alexander Keith's Red Amber Ale,American Amber / Red Ale,1.011869634078957
7222,Bubba Dog,American Pale Wheat Ale,1.0120389460558388
14941,Heritage Premium Ale,English Pale Ale,1.0123553079932222
41796,Rocky Mountain Genuine Lager,American Pale Lager,1.0134533488168866
5294,Famosa (Gallo),American Adjunct Lager,1.0137340908223151
20416,Southern Flyer Light Lager,Light Lager,1.013790712914201
19440,Zhujiang Gold Lager,Euro Pale Lager,1.0150648531212574
28822,Cobra Lite,American Blonde Ale,1.0153998640419686
6156,Zelta,Euro Pale Lager,1.0154963777000712
54762,Perla Malt Liquor,American Malt Liquor,1.0155956143807787
4601,Biela Lager,American Adjunct Lager,1.015619216175681
2945,Steinlager,Euro Pale Lager,1.0160926508256605
26244,St. Louis Premium Pêche,Lambic - Fruit,1.0161684846991021
1593,Pipe Organ Pale Ale,American Pale Ale (APA),1.0169605385680685
47667,Issaquah Ichabob Pumpkin Wit,Pumpkin Ale,1.0171241798681436
50424,Beljamin,Belgian Strong Pale Ale,1.0171241798681436
41828,Johnny Midnite Oatmeal Stout,Oatmeal Stout,1.0171241798681436
12805,Beau Rivage Bock,Bock,1.017236685553971
45676,Brewgrass Pilsner,German Pilsener,1.0172573350686205
44821,Double Barrelled,English Pale Ale,1.0182477507856023
12082,Honey Blonde Ale,American Blonde Ale,1.0187554548022568
12085,Barrington Organic Alt,Altbier,1.0187554548022568
52078,Moosehead Light Lime,Light Lager,1.021176233987101
75658,Czechvar Premium Czech Lager,Czech Pilsener,1.021866830639007
43872,Wild Cat Sour Stout,American Double / Imperial Stout,1.0241403778925213
34756,90 Shilling Scotch Ale,Scotch Ale / Wee Heavy,1.0243299124313616
911,McEwan's India Pale Ale,English India Pale Ale (IPA),1.024412565973566
61444,Stegmaier Summer Stock Pils,German Pilsener,1.0246412902414948
1559,Hurricane Reef Caribbean Pilsner,American Pale Lager,1.0249868135999987
9059,Super Nova Scotch Ale,Scotch Ale / Wee Heavy,1.0257124975351604
10014,Summer Solstice Ale,Hefeweizen,1.0260054147397026
15722,Sapporo Classic,German Pilsener,1.0267092845123618
867,Birra Moretti,Euro Pale Lager,1.0268308310795464
23485,Original Draught,American Pale Lager,1.0270664684823068
39084,14 Year Anniversary Ale,American Double / Imperial IPA,1.0272698565278646
65379,BBC Remembered,German Pilsener,1.0273961331490666
9627,Honey Blonde,American Blonde Ale,1.0281492635108458
70696,Summer Glacier,American Pale Ale (APA),1.0297908737859163
39359,Vandal Gold,American Pale Ale (APA),1.0301150790120703
50199,Winterbock,Doppelbock,1.0308041485020676
69538,Summer Berry Weisse,Fruit / Vegetable Beer,1.0313508784321677
54874,Chateau Kamiya Apple Lager,Fruit / Vegetable Beer,1.0314358676691642
48082,Oirase Dark Lager,Euro Dark Lager,1.0314358676691642
25476,Kirin Nodogoshi,Happoshu,1.0314358676691642
54288,Asahi Royal Brew,German Pilsener,1.0314358676691642
45103,Kirin Smooth,Happoshu,1.0314358676691642
52199,The Straight,Happoshu,1.0314358676691642
16955,Two Rows Osage Golden Wheat,Kristalweizen,1.0330864626405496
20240,Abita Select Kolsch,Kölsch,1.034171284521507
48765,Balkansko Svetlo,Euro Pale Lager,1.034260381600471
49255,Tsarsko Lager,Euro Pale Lager,1.034260381600471
61837,Donagger Premium,Euro Pale Lager,1.034260381600471
49707,Haberman Premium Lager,Euro Pale Lager,1.034260381600471
6310,Zagorka Gold,American Adjunct Lager,1.034260381600471
43876,St. Lucy Artisan Ale,American Wild Ale,1.0343643847411343
47387,Orion Mugi Shokunin,Happoshu,1.0348046922086651
47386,Orion Nangoku Monogatari,Happoshu,1.0348046922086651
47392,Asahi Zeitaku Biyori,Happoshu,1.0348046922086651
54881,Chateau Kamiya Herbst Lager,Herbed / Spiced Beer,1.0348046922086651
54289,Kirin Free,Low Alcohol Beer,1.0348046922086651
21843,Schwarzbier,Schwarzbier,1.0351312969378295
39875,Chang Beer (Export),American Adjunct Lager,1.036210545934073
27049,San Miguel Especial,Euro Pale Lager,1.0373654262641847
49852,Stadelbrau Helles Lagerbier,Munich Helles Lager,1.0376806644189804
22531,First Trax Brown Ale,English Brown Ale,1.0383612430699791
12083,Midget Malt Stout,American Stout,1.0387102074430932
56511,Edelmeister,German Pilsener,1.0390047140539185
40981,Kopernik,Euro Pale Lager,1.0390710186294965
64297,Big Flats 1901,American Adjunct Lager,1.0392346673604482
12023,Giants Head Gold Canadian Ale,American Pale Ale (APA),1.0392676600604618
43695,Spinnakers Currant Noir,Belgian Strong Pale Ale,1.0392676600604618
18496,King Tut's Tipple,American Pale Wheat Ale,1.0392676600604618
32446,KB Original Pale Ale,English Pale Ale,1.0392676600604618
1359,Molson Ice,American Adjunct Lager,1.0395505651696773
20597,Badlands Bitter,Extra Special / Strong Bitter (ESB),1.0396582932804574
66188,Frankenmuth New Year Stout 2011,American Stout,1.0399908397191668
34367,Wilford Brimley's Oatmeal Stout,Oatmeal Stout,1.0402887106876713
12467,Stary Melnik Klassichiskoye,Euro Pale Lager,1.0413413632395243
35876,Birkie Beer,American Brown Ale,1.0417277477168696
18180,Heartland American Wheat,American Pale Wheat Ale,1.0420550103757162
32832,Rock N' Wheat Ale,American Pale Wheat Ale,1.0421043901939953
1454,Southport SouthPorter,American Porter,1.0421043901939953
20402,River Town Nut Brown Ale,English Brown Ale,1.0427329055060395
20544,TBonz New South White,Witbier,1.0428547416734038
9198,Bowen Island Special Bitter,English Bitter,1.0430428680907586
31585,En Fuego Chipotle Ale,Chile Beer,1.0432460471934826
232,Corona Extra,American Adjunct Lager,1.043489764757344
20903,Gibbons,American Pale Lager,1.043598230508669
11195,American Dream 2003,American Pale Wheat Ale,1.0437003904531876
24278,Labatt Genuine Honey,American Adjunct Lager,1.044075584002255
15339,Okocim Karmi,Light Lager,1.0445613287557587
32549,Jarrah Jacks Wheat Beer,Hefeweizen,1.0449488195169265
62021,Calanda Edelbräu,German Pilsener,1.0458311360231753
37107,Tuborg Pilsner Beer (Blue / Blå),Euro Pale Lager,1.0460730804795562
61563,Duquesne Pilsener Beer,American Pale Lager,1.046367463503689
41817,Warsteiner Premium Orange,Fruit / Vegetable Beer,1.0472365369596928
10038,Poker,American Adjunct Lager,1.0476959373561576
17078,India Pale Ale,American IPA,1.0480552828357041
17081,Long's Peak Lager,American Adjunct Lager,1.0480552828357041
17080,Rocky Mountain Red,American Amber / Red Ale,1.0480552828357041
16912,Amber,American Amber / Red Ale,1.0480552828357041
17097,Sasquatch Strong Ale,American Strong Ale,1.0480552828357041
13106,Oktoberfest,Märzen / Oktoberfest,1.0480552828357041
17079,Pioneer Pale Ale,American Pale Ale (APA),1.0480552828357041
53720,Hopicity,English India Pale Ale (IPA),1.048197492005418
1741,Mississippi Mud Black & Tan,Black & Tan,1.0484835460548925
7573,Ian Kinross & Co Highland Stout,English Stout,1.049094547487334
7548,Allegheny Cream Ale,Cream Ale,1.049094547487334
47092,Twain's Second Suit Pale Ale,American Pale Ale (APA),1.049214459259024
37810,Bohemia D'ouro,American Adjunct Lager,1.0492927203232678
10717,South Padre Island Blonde Ale,American Blonde Ale,1.050000734962314
59295,Gopher Lager,American Pale Lager,1.050064790570727
25013,Milwaukee Premium Brewing Company Classic Light,Light Lager,1.050289372475693
46249,Alt-Ernative Amber,Altbier,1.050316139224615
50810,McFarland Strong Ale,Euro Strong Lager,1.050316139224615
51650,Bourbon Vanilla Porter,American Porter,1.050316139224615
30168,Yankee Jim Ice,American Adjunct Lager,1.051005491662184
43548,Kelso Saison,Saison / Farmhouse Ale,1.0511103897755327
15418,Champagne Velvet,American Adjunct Lager,1.0511120381120473
43231,Stella Artois Light,Light Lager,1.0522794674557656
3741,Cristal,American Adjunct Lager,1.0525753853576927
30017,Finnegan's Irish Stout,Irish Dry Stout,1.05317198396846
39252,Navigator Doppelbock (Syrah Barrel Aged),Doppelbock,1.0533569552884672
45266,Airdale Altitude,American Pale Ale (APA),1.0534014320153673
920,Carolina Blonde,American Blonde Ale,1.0538118657009627
27158,Standing Wave Pale Ale,American Pale Ale (APA),1.0546903047412088
28548,The Giant,American Double / Imperial Stout,1.054853699822594
56256,Olympic Gold,American Pale Ale (APA),1.055326350623323
7388,Black Star Black Lager,Munich Dunkel Lager,1.0556300036160564
39687,Monkey Knife Fight,American Pale Ale (APA),1.055724386751018
814,Sapporo Draft Beer,Japanese Rice Lager,1.055977803875872
19039,Bat City Lager,Vienna Lager,1.0565323362457686
21893,Prime Time,American Adjunct Lager,1.0565323362457686
20906,Nostradominator,Doppelbock,1.0565323362457686
19287,Uncle Red's Cherry,Fruit / Vegetable Beer,1.0565323362457686
28531,Quacker In The Rye,Rye Beer,1.0565323362457686
976,Singha,Euro Pale Lager,1.0569581548183702
58258,Schweik Czech Lager,Czech Pilsener,1.057881225651385
57427,Shumensko Tumno,Bock,1.057881225651385
59008,Boliarka Weiss,Hefeweizen,1.057881225651385
61473,Nashensko,Euro Pale Lager,1.057881225651385
46179,MM Pils,German Pilsener,1.057881225651385
45701,Pirinsko Svetlo,Euro Pale Lager,1.057881225651385
54494,Region Rat Red Ale,American Amber / Red Ale,1.0583390683769305
55365,Potawatomi Porter,American Porter,1.0583390683769305
6954,Cerveza Aguila,American Adjunct Lager,1.0584533513746743
21852,Boscos Famous Flaming Stone Beer,American Pale Ale (APA),1.0588735669535936
27981,India Pale Ale,American IPA,1.0590323853097676
11886,BC Brown,English Brown Ale,1.0592272990379619
74406,Belgian Harvest Ale,Belgian Pale Ale,1.0593867332979836
43649,Twain's Temperent Temperance Mild Ale,English Dark Mild Ale,1.0595975613591662
50781,Dark Horse Black Beer,English Porter,1.0602042238248355
37321,Pale Ale,American Pale Ale (APA),1.0608646628895069
11461,Black's Beach Extra Dark,Schwarzbier,1.0610537851034063
13796,McNeill's Humperdink Black Beer,Schwarzbier,1.0613958370370014
5079,Bell In Hand,American Adjunct Lager,1.0617146871439986
39892,Big Horn Harvest Ale,American Amber / Red Ale,1.0624261363074632
53743,'71 Pale Ale,American Pale Ale (APA),1.0624261363074632
35096,Blitzen,American Porter,1.0624261363074632
63740,17 Year Anniversary Ale,American Double / Imperial IPA,1.0624261363074632
52629,Honest-to-Goodness Brown Ale,American Brown Ale,1.0626634637465022
26726,Bock Damm,Bock,1.0626762971722943
56184,Lavender Abbey,Fruit / Vegetable Beer,1.063067419956315
22636,Hofbräu Light,Light Lager,1.063161370303587
19441,Uncle's Dunkelweizen,Dunkelweizen,1.0632944712503587
35603,Gubernija Grand 9.5 Beer,Euro Strong Lager,1.063804152186517
6969,Dixie Jazz,Light Lager,1.0638098231055704
31584,Brandywine Barleywine,American Barleywine,1.0645210529544578
27649,Firehouse Blonde,American Blonde Ale,1.0645540868877645
8781,Dos Rows Vienna Lager,Vienna Lager,1.0649639981097883
7536,Great Western Gold Extra,American Malt Liquor,1.0661731243975114
16702,Kilimanjaro Premium Lager,Light Lager,1.0661914783277253
5654,Hinano,American Adjunct Lager,1.0664057221587877
39677,Santa's Stocking Filler,English Pale Ale,1.066983855605746
1782,Apricot Wheat,Fruit / Vegetable Beer,1.0671233520850216
60148,Suicide,Fruit / Vegetable Beer,1.0673275895649954
17912,Kelly's Oatmeal Stout,Oatmeal Stout,1.0674802291395302
9,Golden,American Pale Lager,1.0679273159061886
56437,Hell's Half Mile,Munich Helles Lager,1.0679519022058077
10491,Standing Stone Amber Ale,American Amber / Red Ale,1.068033920034144
9341,"Ramée Ambrée (for Bibco, Ternat)",Belgian Strong Dark Ale,1.0680761466508526
4695,Baltika #7 Export,Dortmunder / Export Lager,1.0684398907752113
31239,Belhaven Blueberry Classic Fruit Beer,Fruit / Vegetable Beer,1.0687753033562262
45755,Arriba Importada Light,Light Lager,1.0690034205830423
8092,JT Schmid's Honey Ale,American Pale Ale (APA),1.0690997295482483
63584,Keystone Lager,Light Lager,1.0694973273910675
14191,Cream Ale,Cream Ale,1.0698191864375297
60995,Buckner Porter,American Porter,1.0699476439169904
53287,Munich Helles,Munich Helles Lager,1.0700839602914833
1451,Southport Big Head Brewnette,English Brown Ale,1.070204392338074
31296,Wit Wedding,Witbier,1.0705004189407266
61146,Frankenmuth J.B. McGinnis Dry Irish Stout,Irish Dry Stout,1.0705331955072164
35518,El Chupacabra Barley Wine,American Barleywine,1.0707757520536831
68161,Cherazz,Fruit / Vegetable Beer,1.0708445068627086
49551,Morning Wood IPA,American IPA,1.07125715198214
51425,Mississippi Mocha Coffee Stout,American Stout,1.07125715198214
45071,Oktoberfest,Märzen / Oktoberfest,1.0712796410037064
53938,Shock The Monkey Stout,American Stout,1.0712796410037064
50901,Oak Aged Rat Tail Ale,American Pale Ale (APA),1.0712796410037064
52741,InFESTation,Märzen / Oktoberfest,1.0712796410037064
57968,American Wheat,American Pale Wheat Ale,1.0712873918712122
21135,Dominikaner Pils,German Pilsener,1.0714116419553237
2755,Pacífico,American Adjunct Lager,1.071699779555406
49867,Dark Horse Ice,American Malt Liquor,1.07203952252783
1249,Kirin Ichiban,American Pale Lager,1.0721407563637182
60273,Sunfish Wheat,American Pale Wheat Ale,1.072524605530655
48512,Cruzcampo Light,Light Lager,1.072524605530655
74473,Cha Cha Chai Brown Ale,American Brown Ale,1.072524605530655
34726,Black Forest Smoked Cherry Dunkel Weizen,Dunkelweizen,1.072524605530655
71233,Blue,Fruit / Vegetable Beer,1.072524605530655
30828,Double Trouble IPA,American Double / Imperial IPA,1.072524605530655
36868,Victoria Bitter Midstrength,American Adjunct Lager,1.072628006119126
50749,Four O Ice Beer,American Adjunct Lager,1.072652550509764
45625,Happy Ending IPA,American IPA,1.0732763830765364
50367,Brussels Stout,American Double / Imperial Stout,1.0732763830765364
44692,ESB,Extra Special / Strong Bitter (ESB),1.0732763830765364
39251,Victory At Sea Imperial Porter With Coffee Syrah Barrel,American Porter,1.0732763830765364
45481,Smokey's Imperial Red,American Amber / Red Ale,1.0732763830765364
47624,Corona Beach Blonde,American Blonde Ale,1.0732763830765364
44068,Drake's William Holden Belgian Golden,Belgian Pale Ale,1.0732763830765364
45133,Horizons,American Amber / Red Ale,1.0732763830765364
42322,Apricot Sour,American Wild Ale,1.0732763830765364
45261,Stockton Sour (Phil's Mild Wild),American Wild Ale,1.0732763830765364
47672,Old Turkey,American Strong Ale,1.0732763830765364
39335,Zeus Juice,American Double / Imperial IPA,1.0735990220715468
62084,Mountain Crest Classic,American Adjunct Lager,1.0738316779449752
49805,Brewjolais,American Pale Ale (APA),1.074047194794374
51276,Hoppy Porter,American Porter,1.074047194794374
33153,Allagash Batch Ale,Belgian Strong Dark Ale,1.0741351794700087
40919,LongShot Grape Pale Ale,Fruit / Vegetable Beer,1.0744884388938147
13378,Aviator IPA,American IPA,1.0745158448350107
69882,Farmer Ray's Ale,English Bitter,1.074811641555577
53934,Eichhorn Bock,Maibock / Helles Bock,1.074811641555577
72542,Krausen Bügel Lager Hell ***DUPE***,Dortmunder / Export Lager,1.074811641555577
70484,Stackmann's Dunkel,Schwarzbier,1.074811641555577
26044,PM Porter,American Porter,1.0748979320742125
28634,Oirase Pilsner,Czech Pilsener,1.0749179543431104
46574,Cheteau Kamiya Braumeister,Dortmunder / Export Lager,1.0749179543431104
28437,Baeren Classic,Dortmunder / Export Lager,1.0749179543431104
45638,Half & Half,Black & Tan,1.0749179543431104
54877,Chateau Kamiya Helles,Munich Helles Lager,1.0749179543431104
54878,Pale Ale,English Pale Ale,1.0749179543431104
28435,Baeren Schwalz,Schwarzbier,1.0749179543431104
47388,Cheteau Kamiya Blueberry Lager,Fruit / Vegetable Beer,1.0749179543431104
46575,The Premium Fresh Hop,American Pale Lager,1.0749179543431104
54290,Suntory Seasonal Brew,American Amber / Red Lager,1.0749179543431104
47393,Sapporo The Golden Pilsner,German Pilsener,1.0749179543431104
54287,"Suntory Malt's, The Bitter",English Bitter,1.0749179543431104
40065,Harvest Rye Lager,Rye Beer,1.0749179543431104
52202,Chateau Kamiya Oktoberfest,Märzen / Oktoberfest,1.0749179543431104
54880,Sapporo Toretate Hop,Japanese Rice Lager,1.0749179543431104
52198,Cheteau Kamiya Pilsner,German Pilsener,1.0749179543431104
24060,Druid's Pilsener,Czech Pilsener,1.0749891158501523
24241,Riga,Euro Pale Lager,1.0749891158501523
25819,216.0,American Double / Imperial Pilsner,1.0749891158501523
24445,Dawato Brown Ale,American Brown Ale,1.0749891158501523
24198,Dry Irish Stout,Irish Dry Stout,1.0749891158501523
37484,Bourbon Barrel Stout,American Double / Imperial Stout,1.0749891158501523
24517,Beach Bottle Blonde,American Blonde Ale,1.0749891158501523
23586,Red Card Red Ale,American Amber / Red Ale,1.0749891158501523
8877,Organic Gold,American Adjunct Lager,1.0757552646792963
42303,Schlitz High Gravity V.S.L Very Smooth Lager,American Malt Liquor,1.0760645415153416
1905,New Zealand Lager,Euro Pale Lager,1.0761856655091442
38121,Neumarkter Lammsbräu Weisse Alkoholfrei,Hefeweizen,1.0763022813198209
64789,Patruni E Sutta,Euro Pale Lager,1.0763218583700416
52004,Hoppin' Vice,American Pale Wheat Ale,1.0766111573335948
57643,Old Trout Stout,English Stout,1.0766111573335948
55843,Session Ale #33: Yankee Wanker,English Pale Ale,1.076721680423728
16496,Raspberry Wheat,American Pale Wheat Ale,1.0770346592900109
47460,Red Lager,American Amber / Red Lager,1.0771615242139299
13099,Peach Fuzz,Fruit / Vegetable Beer,1.0775067873036908
7313,Michelob (Original Lager),American Pale Lager,1.077834660742435
50807,Ambar Export,American Amber / Red Ale,1.0780531665063777
18264,La Grand Duc (Rousse Au Seigle),Euro Dark Lager,1.0781146571981908
61838,L'ange Noir,American Stout,1.0781146571981908
24251,Black Prince,Euro Dark Lager,1.0786024194089514
59610,Space Monkey,Saison / Farmhouse Ale,1.078939383073242
24522,Bi-Centennial IPA,American IPA,1.079140328917872
2443,St. Peter's Lemon & Ginger Spiced Ale,Herbed / Spiced Beer,1.079309876176109
12362,Efes Dark,Euro Dark Lager,1.0795848549019635
48648,Defender's Choice Premium Lager,American Adjunct Lager,1.0796742843177753
46635,Big Daddy J's Malt Liquor,American Malt Liquor,1.0800462971703122
61906,Adam's Malty Bomb,American Porter,1.0800462971703122
5535,Huckle-weizen,Hefeweizen,1.080679551050361
12678,Gösser,Euro Pale Lager,1.0806941841596305
7996,Trente Wheat,Witbier,1.0809025708377404
35999,Bow Valley Strong Lager,American Malt Liquor,1.0810942964077999
14033,Fischer Tradition Blonde,Euro Pale Lager,1.0811169760444606
8710,Lapin Kulta IV A,Euro Pale Lager,1.0813228846532645
11699,Caballo Cerveza Extra,American Adjunct Lager,1.0813266965199446
51799,Einfach Weizen,Hefeweizen,1.0816754785262994
47453,Dry Hop Stout,American Stout,1.08184729144666
77188,E.S.B.,Extra Special / Strong Bitter (ESB),1.0831851443912666
71859,Double Stout,American Double / Imperial Stout,1.0831851443912666
4469,Old Colony Bitter,English Bitter,1.0832721332095931
34912,Gold Crown Beer,Euro Pale Lager,1.0832873704347863
9410,Sunrye Ale,Rye Beer,1.0832984748202552
22524,Forst Kronen Speciale,Euro Pale Lager,1.0838318584695585
33926,Eisenbahn S.A.P.A. (South American Pale Ale),Belgian Pale Ale,1.0840384932068725
72098,American Wit,Witbier,1.0843020831599357
23722,Dublin Irish Style Dark Beer,Euro Dark Lager,1.0846603878053362
12453,Fitzgerald's Alt,Altbier,1.08471681924353
23247,Old Milwaukee Dry,American Adjunct Lager,1.0850984914848785
42527,St-Urbain Ambrée Au Miel,American Amber / Red Ale,1.0853481446145905
30005,O'Barley's Irish Red Ale,Irish Red Ale,1.0853866702014934
30252,Big Horn Hefeweizen,Hefeweizen,1.0855590413574945
36520,Leroy Barley Wine,American Barleywine,1.0857985694837744
50832,Scottish Red,American Amber / Red Ale,1.0857985694837744
47007,Hipster ESB,Extra Special / Strong Bitter (ESB),1.0857985694837744
37204,Campbell Common,California Common / Steam Beer,1.0857985694837744
42182,Double Maple,Fruit / Vegetable Beer,1.0858608477814904
14687,Estrella Damm,American Adjunct Lager,1.0861993080331127
53933,Peppercorn Pumpkin Ale,Pumpkin Ale,1.0869602217250047
27399,Sleeman IPA (46* / Presents India Pale Ale),English India Pale Ale (IPA),1.0869879926141868
36842,Premium Dutch Lager,Euro Pale Lager,1.08700975162627
9380,Lev Lion Lager,Czech Pilsener,1.087131259523626
6337,"Red, White & Blue",American Adjunct Lager,1.0878542976827974
59466,Berserker,American Strong Ale,1.0880738718328373
8517,Brenham Pilsner,German Pilsener,1.088170670400586
28900,Spring Heat Spiced Wheat,Witbier,1.0883415546433828
8468,J.T.'s Badger Red Ale,American Amber / Red Ale,1.0889113298583886
1295,Super Bock,American Adjunct Lager,1.0890827500138112
36517,Mani Padme Hum Dry Stout,Irish Dry Stout,1.0892862539337647
4792,Nut Brown Ale,English Brown Ale,1.0892974215298263
